iter	Passed	Remaining
0	130	130508
1	131	65779
2	132	44116
3	133	33263
4	135	26904
5	136	22580
6	137	19491
7	138	17149
8	139	15330
9	140	13892
10	141	12731
11	142	11749
12	143	10906
13	144	10181
14	145	9572
15	146	9035
16	149	8626
17	150	8211
18	152	7849
19	153	7510
20	155	7229
21	156	6938
22	156	6669
23	158	6429
24	158	6200
25	160	5999
26	161	5812
27	162	5637
28	163	5488
29	164	5330
30	165	5185
31	166	5047
32	167	4913
33	168	4795
34	171	4716
35	172	4616
36	173	4521
37	175	4434
38	176	4356
39	194	4671
40	196	4591
41	198	4520
42	199	4442
43	200	4358
44	201	4282
45	202	4209
46	204	4138
47	205	4069
48	206	4015
49	208	3957
50	209	3898
51	210	3844
52	212	3795
53	214	3758
54	216	3713
55	217	3666
56	219	3625
57	220	3589
58	223	3564
59	225	3528
60	227	3501
61	229	3468
62	230	3428
63	231	3389
64	233	3356
65	235	3327
66	237	3308
67	239	3281
68	241	3253
69	242	3225
70	244	3198
71	246	3171
72	247	3145
73	249	3118
74	251	3099
75	252	3075
76	254	3048
77	255	3025
78	257	3001
79	258	2973
80	260	2951
81	261	2929
82	262	2902
83	264	2882
84	266	2863
85	267	2846
86	269	2827
87	270	2807
88	273	2794
89	274	2779
90	276	2760
91	278	2745
92	279	2730
93	281	2716
94	283	2701
95	285	2688
96	287	2679
97	289	2666
98	291	2650
99	293	2637
100	294	2624
101	296	2613
102	298	2603
103	300	2592
104	303	2583
105	304	2570
106	306	2557
107	308	2545
108	310	2535
109	312	2526
110	314	2515
111	315	2504
112	317	2495
113	319	2485
114	321	2475
115	323	2467
116	325	2458
117	327	2450
118	330	2443
119	331	2433
120	333	2425
121	335	2415
122	338	2411
123	339	2400
124	341	2392
125	343	2380
126	344	2366
127	346	2358
128	348	2349
129	349	2339
130	351	2331
131	353	2324
132	355	2318
133	357	2310
134	359	2303
135	361	2296
136	363	2291
137	365	2285
138	367	2277
139	369	2272
140	372	2267
141	373	2258
142	375	2252
143	377	2246
144	380	2242
145	382	2236
146	384	2230
147	386	2226
148	389	2223
149	391	2219
150	393	2213
151	395	2207
152	397	2202
153	399	2196
154	401	2190
155	403	2183
156	405	2176
157	407	2170
158	409	2166
159	411	2161
160	413	2155
161	416	2153
162	418	2147
163	420	2143
164	422	2139
165	424	2135
166	427	2131
167	429	2125
168	431	2120
169	433	2116
170	436	2113
171	438	2110
172	440	2105
173	442	2100
174	444	2095
175	446	2090
176	448	2085
177	450	2082
178	453	2078
179	455	2074
180	457	2070
181	460	2067
182	462	2064
183	464	2059
184	467	2057
185	469	2053
186	471	2049
187	473	2045
188	475	2042
189	477	2037
190	480	2033
191	481	2027
192	483	2023
193	486	2019
194	488	2015
195	490	2012
196	492	2007
197	494	2003
198	496	1999
199	498	1994
200	500	1989
201	502	1985
202	504	1980
203	506	1974
204	508	1970
205	510	1966
206	512	1961
207	514	1957
208	515	1952
209	517	1948
210	520	1944
211	522	1941
212	524	1936
213	526	1932
214	528	1929
215	530	1925
216	532	1921
217	534	1918
218	536	1914
